# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.275                   	smoothSolver	7.7816900000000000e-03	2.2732499999999998e-06	3	1.0945699999999999e-02	4.0021600000000002e-06	3	false	smoothSolver	9.9439300000000010e-04	1.8118200000000001e-06	2	true	smoothSolver	8.3815699999999996e-03	1.5661900000000001e-06	3	true	GAMG	1.1491599999999999e-02	4.1287499999999999e-04	2	true
0.28                    	smoothSolver	8.3456599999999995e-03	4.1965800000000001e-06	3	1.1164600000000000e-02	3.9940899999999997e-06	3	false	smoothSolver	9.8955900000000010e-04	1.8303600000000000e-06	2	true	smoothSolver	8.2803400000000006e-03	1.5596200000000000e-06	3	true	GAMG	3.3400500000000000e-01	3.2918500000000003e-02	1	true
0.285                   	smoothSolver	7.6689799999999997e-03	2.4660199999999999e-06	3	1.0857500000000001e-02	4.1911800000000001e-06	3	false	smoothSolver	9.7746599999999997e-04	1.8366500000000000e-06	2	true	smoothSolver	8.1753799999999995e-03	1.5483600000000000e-06	3	true	GAMG	1.1245700000000001e-02	4.0330900000000002e-04	2	true
0.29                    	smoothSolver	7.4784999999999999e-03	2.4978399999999999e-06	3	1.0477500000000001e-02	4.2181700000000001e-06	3	false	smoothSolver	9.5737899999999996e-04	1.8293199999999999e-06	2	true	smoothSolver	8.0562299999999993e-03	1.5339700000000001e-06	3	true	GAMG	1.0774000000000001e-02	3.6595800000000000e-04	2	true
0.295                   	smoothSolver	7.3581799999999998e-03	2.5257199999999999e-06	3	1.0259200000000000e-02	4.1760899999999999e-06	3	false	smoothSolver	9.3898899999999999e-04	1.8203700000000000e-06	2	true	smoothSolver	7.9376199999999994e-03	1.5202099999999999e-06	3	true	GAMG	1.1237400000000000e-02	2.6095900000000001e-04	2	true
0.3                     	smoothSolver	7.2214699999999998e-03	2.5247100000000000e-06	3	1.0017399999999999e-02	4.1821700000000000e-06	3	false	smoothSolver	9.1946100000000000e-04	1.8049300000000001e-06	2	true	smoothSolver	7.8262100000000001e-03	1.5107899999999999e-06	3	true	GAMG	1.0320899999999999e-02	2.9195900000000000e-04	2	true
0.305                   	smoothSolver	7.5713300000000002e-03	4.7010999999999998e-06	3	1.0882400000000000e-02	4.8694899999999999e-06	3	false	smoothSolver	8.9823599999999996e-04	1.7835200000000001e-06	2	true	smoothSolver	7.7121300000000002e-03	1.4984699999999999e-06	3	true	GAMG	3.5333399999999998e-01	1.0419899999999999e-02	2	true
0.31                    	smoothSolver	6.9691600000000003e-03	2.4714400000000000e-06	3	9.7190300000000000e-03	4.2352499999999998e-06	3	false	smoothSolver	8.7899300000000001e-04	1.7592900000000000e-06	2	true	smoothSolver	7.5983099999999996e-03	1.4817700000000000e-06	3	true	GAMG	1.0628000000000000e-02	2.5118599999999998e-04	2	true
0.315                   	smoothSolver	6.8209100000000003e-03	2.5068200000000000e-06	3	9.3738299999999997e-03	4.2409200000000000e-06	3	false	smoothSolver	8.6931900000000002e-04	1.7545800000000000e-06	2	true	smoothSolver	7.4897999999999996e-03	1.4728800000000000e-06	3	true	GAMG	1.0065800000000000e-02	2.0012500000000000e-04	2	true
0.32                    	smoothSolver	6.6849099999999996e-03	2.5009999999999999e-06	3	9.2692000000000000e-03	4.2652000000000003e-06	3	false	smoothSolver	8.7023500000000002e-04	1.7628200000000000e-06	2	true	smoothSolver	7.3956600000000001e-03	1.4713400000000000e-06	3	true	GAMG	1.1443399999999999e-02	1.1359700000000000e-03	1	true
